Concurso ;Data;Coluna1 ;Coluna2 ;Coluna3 ;Coluna4 ;Coluna5 ;Coluna6 ;Media;Mediana;Premio_Acum;Sorteio_ Especial ;Classe
82;28/09/1997;15;18;29;36;51;53;33.66;32.5;NO;NO;BBCDFF
83;05/10/1997;4;15;16;24;42;57;26.33;20;YES;NO;ABBCEF
84;12/10/1997;4;6;10;25;34;40;19.83;17.5;YES;NO;AABCDE
85;19/10/1997;6;15;30;37;45;47;30;33.5;YES;NO;ABDDEE
86;26/10/1997;6;21;22;34;36;54;28.83;28;YES;NO;ACCDDF
87;02/11/1997;4;5;11;28;32;40;20;19.5;YES;NO;AABCDE
88;09/11/1997;4;18;29;37;43;45;29.33;33;YES;NO;ABCDEE
89;16/11/1997;13;34;42;44;55;59;41.16;43;YES;NO;BDEEFF
90;23/11/1997;9;21;26;40;52;54;33.66;33;NO;NO;ACCEFF
91;30/11/1997;2;4;10;35;39;60;25;22.5;YES;NO;AABDDF
92;07/12/1997;1;3;5;23;24;51;17.83;14;YES;NO;AAACCF
93;14/12/1997;2;22;28;31;36;53;28.66;29.5;YES;NO;ACCDDF
94;21/12/1997;8;18;28;51;52;55;35.33;39.5;YES;NO;ABCFFF
95;28/12/1997;6;40;45;46;50;60;41.16;45.5;YES;NO;AEEEFF
96;04/01/1998;4;7;26;40;42;58;29.5;33;NO;NO;AACEEF
97;11/01/1998;5;11;14;35;53;56;29;24.5;NO;NO;ABBDFF
98;18/01/1998;13;14;31;33;35;43;28.16;32;YES;NO;BBDDDE
99;25/01/1998;11;24;30;33;46;60;34;31.5;YES;NO;BCDDEF
100;01/02/1998;14;29;30;46;48;51;36.33;38;YES;NO;BCDEEF
101;08/02/1998;1;18;29;31;37;39;25.83;30;YES;NO;ABCDDD
102;15/02/1998;19;20;37;42;44;56;36.33;39.5;NO;NO;BCDEEF
103;22/02/1998;1;7;9;49;54;57;29.5;29;NO;NO;AAAEFF
104;01/03/1998;1;4;13;21;38;52;21.5;17;YES;NO;AABCDF
105;08/03/1998;3;13;31;43;46;49;30.83;37;YES;NO;ABDEEE
106;15/03/1998;5;16;24;35;38;39;26.16;29.5;YES;NO;ABCDDD
107;22/03/1998;2;4;16;24;51;52;24.83;20;YES;NO;AABCFF
108;29/03/1998;21;24;29;34;59;60;37.83;31.5;YES;NO;CCCDFF
109;04/04/1998;1;13;44;48;49;54;34.83;46;YES;NO;ABEEEF
110;11/04/1998;18;31;43;52;57;58;43.16;47.5;YES;NO;BDEFFF
111;18/04/1998;4;22;25;32;33;52;28;28.5;YES;NO;ACCDDF
112;25/04/1998;12;20;34;37;42;43;31.33;35.5;NO;NO;BCDDEE
113;02/05/1998;7;26;28;34;54;55;34;31;YES;NO;ACCDFF
114;09/05/1998;6;12;18;37;47;54;29;27.5;YES;NO;ABBDEF
115;16/05/1998;4;6;14;20;24;38;17.66;17;YES;NO;AABCCD
116;23/05/1998;5;13;32;36;42;51;29.83;34;YES;NO;ABDDEF
117;30/05/1998;20;25;27;33;42;53;33.33;30;YES;NO;CCCDEF
118;06/06/1998;9;22;25;37;56;57;34.33;31;YES;NO;ACCDFF
119;13/06/1998;1;21;36;38;47;50;32.16;37;YES;NO;ACDDEF
120;20/06/1998;3;16;27;40;45;46;29.5;33.5;YES;NO;ABCEEE
121;27/06/1998;2;29;41;44;53;55;37.33;42.5;YES;NO;ACEEFF
122;04/07/1998;11;17;20;39;43;53;30.5;29.5;YES;NO;BBCDEF
123;11/07/1998;13;14;16;26;32;42;23.83;21;YES;NO;BBBCDE
124;18/07/1998;5;15;34;41;52;57;34;37.5;NO;NO;ABDEFF
125;25/07/1998;25;41;47;53;56;59;46.83;50;YES;NO;CEEFFF
126;01/08/1998;6;10;11;28;32;40;21.16;19.5;YES;NO;ABBCDE
127;08/08/1998;21;29;50;51;54;59;44;50.5;YES;NO;CCFFFF
128;15/08/1998;3;9;18;21;23;43;19.5;19.5;YES;NO;AABCCE
129;22/08/1998;1;9;10;32;46;54;25.33;21;YES;NO;AABDEF
130;29/08/1998;13;29;38;42;49;53;37.33;40;YES;NO;BCDEEF
131;05/09/1998;4;9;17;27;30;44;21.83;22;YES;NO;AABCDE
132;12/09/1998;7;9;35;41;44;50;31;38;YES;NO;AADEEF
133;19/09/1998;5;6;19;34;39;57;26.66;26.5;NO;NO;AABDDF
134;26/09/1998;4;25;32;36;52;60;34.83;34;YES;NO;ACDDFF
135;03/10/1998;21;22;35;40;53;59;38.33;37.5;YES;NO;CCDEFF
136;10/10/1998;1;17;25;38;45;59;30.83;31.5;YES;NO;ABCDEF
137;17/10/1998;15;16;19;22;26;49;24.5;20.5;YES;NO;BBBCCE
138;24/10/1998;5;14;27;37;40;41;27.33;32;YES;NO;ABCDEE
139;31/10/1998;3;13;26;27;41;42;25.33;26.5;NO;NO;ABCCEE
140;07/11/1998;7;31;41;44;46;55;37.33;42.5;YES;NO;ADEEEF
141;14/11/1998;10;13;22;41;42;58;31;31.5;YES;NO;BBCEEF
142;21/11/1998;8;15;19;20;54;59;29.16;19.5;YES;NO;ABBCFF
143;28/11/1998;6;18;20;40;50;53;31.16;30;YES;NO;ABCEFF
144;05/12/1998;8;32;36;44;45;55;36.66;40;NO;NO;ADDEEF
145;12/12/1998;15;16;31;41;43;51;32.83;36;YES;NO;BBDEEF
146;19/12/1998;25;32;34;42;51;60;40.66;38;YES;NO;CDDEFF
147;24/12/1998;6;16;23;24;28;38;22.5;23.5;NO;NO;ABCCCD
148;31/12/1998;32;35;41;55;58;59;46.66;48;YES;NO;DDEFFF
149;09/01/1999;7;11;20;28;45;48;26.5;24;YES;NO;ABCCEE
150;16/01/1999;12;44;50;52;54;55;44.5;51;YES;NO;BEFFFF
151;23/01/1999;3;16;20;43;52;56;31.66;31.5;NO;NO;ABCEFF
152;30/01/1999;5;12;15;29;51;58;28.33;22;YES;NO;ABBCFF
153;06/02/1999;2;30;31;42;45;47;32.83;36.5;YES;NO;ADDEEE
154;13/02/1999;8;10;24;33;45;48;28;28.5;YES;NO;ABCDEE
155;20/02/1999;12;30;32;35;43;44;32.66;33.5;NO;NO;BDDDEE
156;27/02/1999;17;23;42;49;52;55;39.66;45.5;YES;NO;BCEEFF
157;06/03/1999;4;13;17;21;41;44;23.33;19;NO;NO;ABBCEE
158;13/03/1999;4;14;17;43;51;58;31.16;30;YES;NO;ABBEFF
159;20/03/1999;9;11;16;35;50;58;29.83;25.5;NO;NO;ABBDFF
160;27/03/1999;2;13;42;52;54;58;36.83;47;YES;NO;ABEFFF
161;03/04/1999;6;25;30;37;39;41;29.66;33.5;YES;NO;ACDDDE
162;10/04/1999;21;23;33;38;48;51;35.66;35.5;YES;NO;CCDDEF
163;17/04/1999;8;27;36;41;53;56;36.83;38.5;NO;NO;ACDEFF
164;24/04/1999;4;10;14;19;28;44;19.83;16.5;YES;NO;ABBBCE
165;01/05/1999;10;19;23;35;39;56;30.33;29;NO;NO;BBCDDF
166;08/05/1999;12;13;22;57;59;60;37.16;39.5;YES;NO;BBCFFF
167;15/05/1999;1;11;28;33;38;48;26.5;30.5;NO;NO;ABCDDE
168;22/05/1999;2;9;31;35;45;50;28.66;33;YES;NO;AADDEF
169;29/05/1999;1;13;21;37;51;52;29.16;29;YES;NO;ABCDFF
170;05/06/1999;7;41;46;51;55;58;43;48.5;YES;NO;AEEFFF
171;12/06/1999;4;27;40;43;46;54;35.66;41.5;NO;NO;ACEEEF
172;19/06/1999;10;14;26;35;36;49;28.33;30.5;YES;NO;BBCDDE
173;26/06/1999;17;28;29;42;49;50;35.83;35.5;NO;NO;BCCEEF
174;03/07/1999;11;22;23;36;52;59;33.83;29.5;YES;NO;BCCDFF
175;10/07/1999;1;10;13;20;42;50;22.66;16.5;YES;NO;ABBCEF
176;17/07/1999;1;3;4;28;45;53;22.33;16;YES;NO;AAACEF
177;24/07/1999;22;35;38;39;41;59;39;38.5;YES;NO;CDDDEF
178;31/07/1999;5;15;19;26;27;33;20.83;22.5;NO;NO;ABBCCD
179;07/08/1999;5;6;23;26;27;53;23.33;24.5;YES;NO;AACCCF
180;14/08/1999;6;23;29;39;51;60;34.66;34;YES;NO;ACCDFF
181;21/08/1999;1;27;33;35;51;55;33.66;34;YES;NO;ACDDFF
182;28/08/1999;3;5;10;28;46;60;25.33;19;YES;NO;AABCEF
183;04/09/1999;2;7;11;16;40;44;20;13.5;YES;NO;AABBEE
184;11/09/1999;9;16;21;34;41;60;30.16;27.5;YES;NO;ABCDEF
185;18/09/1999;17;22;43;46;55;59;40.33;44.5;YES;NO;BCEEFF
186;25/09/1999;14;23;24;25;26;51;27.16;24.5;YES;NO;BCCCCF
187;02/10/1999;6;36;41;44;48;58;38.83;42.5;YES;NO;ADEEEF
188;10/10/1999;17;27;34;42;43;46;34.83;38;NO;NO;BCDEEE
189;16/10/1999;4;15;31;38;41;53;30.33;34.5;YES;NO;ABDDEF
190;24/10/1999;5;10;21;32;40;42;25;26.5;YES;NO;ABCDEE
191;31/10/1999;1;3;5;23;41;58;21.83;14;NO;NO;AAACEF
192;06/11/1999;1;26;28;41;54;60;35;34.5;YES;NO;ACCEFF
193;13/11/1999;4;11;12;19;43;49;23;15.5;YES;NO;ABBBEE
194;20/11/1999;25;28;32;33;42;43;33.83;32.5;YES;NO;CCDDEE
195;27/11/1999;3;9;17;32;37;44;23.66;24.5;NO;NO;AABDDE
196;04/12/1999;7;9;14;17;24;32;17.16;15.5;YES;NO;AABBCD
197;11/12/1999;5;12;15;19;29;52;22;17;YES;NO;ABBBCF
198;18/12/1999;1;8;18;23;35;40;20.83;20.5;YES;NO;AABCDE
199;24/12/1999;10;16;37;50;52;57;37;43.5;NO;NO;BBDFFF
200;31/12/1999;12;15;19;34;44;51;29.16;26.5;NO;NO;BBBDEF
201;08/01/2000;5;20;22;30;35;55;27.83;26;NO;NO;ACCDDF
202;15/01/2000;12;24;44;45;49;53;37.83;44.5;YES;NO;BCEEEF
203;22/01/2000;11;19;29;44;47;55;34.16;36.5;YES;NO;BBCEEF
204;29/01/2000;29;31;39;41;51;58;41.5;40;YES;NO;CDDEFF
205;05/02/2000;26;32;40;43;46;54;40.16;41.5;NO;NO;CDEEEF
206;12/02/2000;18;20;26;34;51;56;34.16;30;YES;NO;BCCDFF
207;19/02/2000;3;7;19;24;53;55;26.83;21.5;YES;NO;AABCFF
208;26/02/2000;15;23;24;25;47;57;31.83;24.5;YES;NO;BCCCEF
209;04/03/2000;13;21;26;32;41;52;30.83;29;YES;NO;BCCDEF
210;11/03/2000;20;32;37;38;48;58;38.83;37.5;YES;NO;CDDDEF
211;18/03/2000;10;20;33;40;45;50;33;36.5;YES;NO;BCDEEF
212;25/03/2000;6;15;29;45;57;59;35.16;37;YES;NO;ABCEFF
213;01/04/2000;3;9;23;30;32;35;22;26.5;NO;NO;AACDDD
214;08/04/2000;6;12;30;31;35;50;27.33;30.5;YES;NO;ABDDDF
215;15/04/2000;7;28;37;46;53;58;38.16;41.5;YES;NO;ACDEFF
216;22/04/2000;14;18;30;35;42;59;33;32.5;NO;NO;BBDDEF
217;29/04/2000;3;27;32;45;49;51;34.5;38.5;YES;NO;ACDEEF
218;06/05/2000;12;17;40;42;47;54;35.33;41;NO;NO;BBEEEF
219;13/05/2000;23;26;28;36;42;49;34;32;YES;NO;CCCDEE
220;20/05/2000;13;14;36;53;55;60;38.5;44.5;NO;NO;BBDFFF
221;27/05/2000;13;27;43;50;54;58;40.83;46.5;YES;NO;BCEFFF
222;03/06/2000;5;19;30;48;52;55;34.83;39;YES;NO;ABDEFF
223;10/06/2000;2;6;22;24;28;58;23.33;23;YES;NO;AACCCF
224;17/06/2000;7;16;18;20;21;44;21;19;YES;NO;ABBCCE
225;24/06/2000;2;4;16;21;37;58;23;18.5;YES;NO;AABCDF
226;01/07/2000;1;2;38;49;50;59;33.16;43.5;NO;NO;AADEFF
227;08/07/2000;11;26;27;37;42;48;31.83;32;YES;NO;BCCDEE
228;15/07/2000;13;16;40;43;45;59;36;41.5;YES;NO;BBEEEF
229;22/07/2000;11;13;21;33;39;45;27;27;NO;NO;BBCDDE
230;29/07/2000;8;40;41;44;53;56;40.33;42.5;YES;NO;AEEEFF
231;05/08/2000;16;27;36;42;44;59;37.33;39;YES;NO;BCDEEF
232;12/08/2000;19;22;29;37;41;59;34.5;33;YES;NO;BCCDEF
233;19/08/2000;3;7;24;32;36;45;24.5;28;NO;NO;AACDDE
234;26/08/2000;15;25;41;42;45;54;37;41.5;YES;NO;BCEEEF
235;02/09/2000;2;22;29;31;41;55;30;30;YES;NO;ACCDEF
236;09/09/2000;10;25;50;52;57;60;42.33;51;YES;NO;BCFFFF
237;16/09/2000;7;31;36;45;56;57;38.66;40.5;YES;NO;ADDEFF
238;23/09/2000;9;13;15;37;41;42;26.16;26;NO;NO;ABBDEE
239;30/09/2000;6;21;33;44;46;47;32.83;38.5;NO;NO;ACDEEE
240;07/10/2000;25;28;38;41;57;59;41.33;39.5;YES;NO;CCDEFF
241;14/10/2000;11;31;35;40;56;57;38.33;37.5;YES;NO;BDDEFF
242;21/10/2000;4;7;21;22;28;56;23;21.5;YES;NO;AACCCF
243;28/10/2000;11;16;20;23;32;47;24.83;21.5;YES;NO;BBCCDE
244;04/11/2000;19;24;33;47;50;60;38.83;40;YES;NO;BCDEFF
245;11/11/2000;8;27;44;51;53;60;40.5;47.5;NO;NO;ACEFFF
246;18/11/2000;2;16;32;37;43;57;31.16;34.5;YES;NO;ABDDEF
247;25/11/2000;3;10;23;30;34;46;24.33;26.5;YES;NO;ABCDDE
248;02/12/2000;16;32;34;35;41;56;35.66;34.5;YES;NO;BDDDEF
249;09/12/2000;21;36;40;49;54;55;42.5;44.5;YES;NO;CDEEFF
250;16/12/2000;7;25;41;42;43;55;35.5;41.5;YES;NO;ACEEEF
251;23/12/2000;15;23;30;34;49;55;34.33;32;YES;NO;BCDDEF
252;30/12/2000;4;17;26;32;51;54;30.66;29;NO;NO;ABCDFF
253;06/01/2001;11;12;24;37;44;56;30.66;30.5;YES;NO;BBCDEF
254;13/01/2001;1;4;21;22;30;56;22.33;21.5;YES;NO;AACCDF
255;20/01/2001;16;19;20;32;44;55;31;26;YES;NO;BBCDEF
256;27/01/2001;2;21;26;32;34;52;27.83;29;YES;NO;ACCDDF
257;03/02/2001;1;4;5;19;28;34;15.16;12;NO;NO;AAABCD
258;10/02/2001;7;12;50;54;55;60;39.66;52;YES;NO;ABFFFF
259;17/02/2001;13;15;20;33;43;58;30.33;26.5;YES;NO;BBCDEF
260;24/02/2001;4;6;33;43;59;60;34.16;38;YES;NO;AADEFF
261;03/03/2001;5;16;20;30;54;56;30.16;25;YES;NO;ABCDFF
262;10/03/2001;11;20;48;53;58;60;41.66;50.5;YES;NO;BCEFFF
263;17/03/2001;8;9;26;43;50;53;31.5;34.5;YES;NO;AACEFF
264;24/03/2001;1;5;13;25;31;33;18;19;NO;NO;AABCDD
265;31/03/2001;7;16;34;41;50;53;33.5;37.5;YES;NO;ABDEFF
266;07/04/2001;2;23;38;46;48;54;35.16;42;YES;NO;ACDEEF
267;14/04/2001;1;8;45;46;55;58;35.5;45.5;YES;NO;AAEEFF
268;21/04/2001;5;6;10;21;33;47;20.33;15.5;YES;NO;AABCDE
269;28/04/2001;17;18;19;25;49;52;30;22;YES;NO;BBBCEF
270;05/05/2001;5;9;27;35;40;45;26.83;31;NO;NO;AACDEE
271;12/05/2001;14;24;26;29;31;54;29.66;27.5;YES;NO;BCCCDF
272;19/05/2001;9;10;24;36;56;58;32.16;30;YES;NO;ABCDFF
273;26/05/2001;10;17;23;27;47;52;29.33;25;NO;NO;BBCCEF
274;02/06/2001;11;13;18;26;39;47;25.66;22;YES;NO;BBBCDE
275;09/06/2001;16;19;30;37;38;48;31.33;33.5;YES;NO;BBDDDE
276;16/06/2001;22;39;45;53;57;59;45.83;49;YES;NO;CDEFFF
277;23/06/2001;4;26;38;40;52;56;36;39;YES;NO;ACDEFF
278;30/06/2001;10;15;18;22;31;55;25.16;20;YES;NO;BBBCDF
279;07/07/2001;4;23;31;47;58;59;37;39;YES;NO;ACDEFF
280;14/07/2001;5;16;20;25;30;58;25.66;22.5;YES;NO;ABCCDF
281;21/07/2001;5;11;31;38;47;53;30.83;34.5;NO;NO;ABDDEF
282;28/07/2001;9;14;23;24;33;36;23.16;23.5;NO;NO;ABCCDD
283;01/08/2001;25;28;34;42;48;54;38.5;38;NO;NO;CCDEEF
284;04/08/2001;7;8;14;30;32;36;21.16;22;NO;NO;AABDDD
285;08/08/2001;12;32;37;41;50;56;38;39;YES;NO;BDDEFF
286;11/08/2001;29;35;37;44;47;56;41.33;40.5;YES;NO;CDDEEF
287;15/08/2001;3;13;25;33;47;60;30.16;29;NO;NO;ABCDEF
288;18/08/2001;6;9;11;17;18;50;18.5;14;YES;NO;AABBBF
289;22/08/2001;6;7;20;25;30;36;20.66;22.5;YES;NO;AACCDD
290;25/08/2001;7;25;26;30;40;57;30.83;28;YES;NO;ACCDEF
291;29/08/2001;5;16;17;18;22;41;19.83;17.5;YES;NO;ABBBCE
292;01/09/2001;13;23;24;34;45;53;32;29;YES;NO;BCCDEF
293;05/09/2001;5;6;7;12;28;35;15.5;9.5;YES;NO;AAABCD
294;08/09/2001;22;25;28;41;45;57;36.33;34.5;NO;NO;CCCEEF
295;12/09/2001;7;12;24;31;44;50;28;27.5;YES;NO;ABCDEF
296;15/09/2001;3;20;42;46;51;52;35.66;44;YES;NO;ACEEFF
297;19/09/2001;1;20;28;33;36;41;26.5;30.5;YES;NO;ACCDDE
298;22/09/2001;5;22;23;24;34;60;28;23.5;NO;NO;ACCCDF
299;26/09/2001;2;5;7;33;49;53;24.83;20;YES;NO;AAADEF
300;29/09/2001;24;27;28;38;41;57;35.83;33;YES;NO;CCCDEF
301;03/10/2001;9;26;48;49;57;58;41.16;48.5;YES;NO;ACEEFF
302;06/10/2001;12;25;30;40;41;60;34.66;35;YES;NO;BCDEEF
303;10/10/2001;7;13;17;30;37;47;25.16;23.5;NO;NO;ABBDDE
304;13/10/2001;7;11;34;41;42;59;32.33;37.5;YES;NO;ABDEEF
305;17/10/2001;5;11;27;38;53;60;32.33;32.5;YES;NO;ABCDFF
306;20/10/2001;19;30;41;47;56;57;41.66;44;YES;NO;BDEEFF
307;24/10/2001;13;16;17;26;41;44;26.16;21.5;YES;NO;BBBCEE
308;27/10/2001;4;11;25;29;39;55;27.16;27;NO;NO;ABCCDF
309;31/10/2001;4;11;25;39;50;55;30.66;32;NO;NO;ABCDFF
310;03/11/2001;2;14;28;29;31;32;22.66;28.5;YES;NO;ABCCDD
311;07/11/2001;22;24;30;32;38;41;31.16;31;YES;NO;CCDDDE
312;10/11/2001;14;23;30;41;47;50;34.16;35.5;YES;NO;BCDEEF
313;14/11/2001;14;16;24;37;38;53;30.33;30.5;YES;NO;BBCDDF
314;17/11/2001;5;32;34;37;40;58;34.33;35.5;YES;NO;ADDDEF
315;21/11/2001;12;21;22;28;43;50;29.33;25;NO;NO;BCCCEF
316;24/11/2001;6;24;28;43;51;56;34.66;35.5;YES;NO;ACCEFF
317;28/11/2001;16;20;27;30;35;48;29.33;28.5;YES;NO;BCCDDE
318;01/12/2001;3;19;20;31;40;53;27.66;25.5;NO;NO;ABCDEF
319;05/12/2001;12;16;17;19;23;48;22.5;18;YES;NO;BBBBCE
320;08/12/2001;20;22;27;47;50;53;36.5;37;YES;NO;CCCEFF
321;12/12/2001;4;11;31;32;48;49;29.16;31.5;YES;NO;ABDDEE
322;15/12/2001;11;18;29;44;47;56;34.16;36.5;YES;NO;BBCEEF
323;19/12/2001;26;31;33;40;49;54;38.83;36.5;YES;NO;CDDEEF
324;22/12/2001;8;15;22;25;30;47;24.5;23.5;YES;NO;ABCCDE
325;29/12/2001;1;3;4;21;23;53;17.5;12.5;NO;NO;AAACCF
326;05/01/2002;21;23;40;44;51;52;38.5;42;YES;NO;CCEEFF
327;09/01/2002;29;32;33;38;46;48;37.66;35.5;YES;NO;CDDDEE
328;12/01/2002;5;7;14;21;23;51;20.16;17.5;NO;NO;AABCCF
329;16/01/2002;10;11;12;24;35;40;22;18;YES;NO;BBBCDE
330;19/01/2002;2;4;14;23;37;51;21.83;18.5;YES;NO;AABCDF
331;23/01/2002;1;13;20;27;35;37;22.16;23.5;YES;NO;ABCCDD
332;26/01/2002;23;28;29;34;42;44;33.33;31.5;YES;NO;CCCDEE
333;30/01/2002;4;27;35;44;52;53;35.83;39.5;YES;NO;ACDEFF
334;02/02/2002;14;23;24;26;41;51;29.83;25;NO;NO;BCCCEF
335;06/02/2002;7;23;33;43;57;59;37;38;YES;NO;ACDEFF
336;09/02/2002;2;18;22;26;30;54;25.33;24;YES;NO;ABCCDF
337;16/02/2002;4;14;16;31;52;54;28.5;23.5;YES;NO;ABBDFF
338;20/02/2002;1;4;9;36;46;48;24;22.5;YES;NO;AAADEE
339;23/02/2002;5;12;13;16;27;50;20.5;14.5;YES;NO;ABBBCF
340;27/02/2002;9;10;12;33;42;60;27.66;22.5;YES;NO;ABBDEF
